Case Citation;Jurisdictions;Abstract;Relevant Facts;PIL Provisions;Themes;Choice of Law Issue;Court's Position
Federal Court, 28.07.2009 - BGer 4A_227/2009;Switzerland;"Employment contract; termination, 
appeal against the decision of the Court of Appeal of the Labour Court of the Canton of Geneva of March 26, 2009.";The dispute involves the termination of an employment contract between a Swiss company and an employee who worked in Italy. The company verbally informed the employee of her dismissal during a meeting. The employee later claimed that the dismissal was invalid because she was ill and unable to work on the date she received the dismissal notice, which she argued was a violation of Swiss labor law. The company maintained that the dismissal was valid and that the employee had been properly informed.;Art. 121 PILA, Art. 116 PILA;Party autonomy, Tacit choice,Employment contracts, Consumer contracts;Can the parties tacitly choose Swiss law to be applied in cases where the Swiss private international law framework determines a foreign law to be applicable?;According to the court, both parties (lawyers) made a tacit choice of law by referring to Swiss law (vid. Art. 116 PILA). Therefore, in this case, it is possible to deduce from the attitude of the parties the expression of a tacit but conscious choice of law.
Federal Court, 17.12.1991 - BGE 117 II 494 ;Switzerland;"Art. 154 et seq. PILA. Law applicable to the personal statute of a company.
1. review of party capacity in appeal proceedings (E. 2).
2. according to Art. 154 para. 1 PILA, the law of the state in which a company is incorporated is to be used to determine its personal status (E. 4). Under the rule of the PILA, there is no room for the reservation of the fictitious domicile chosen for the purpose of circumventing the law (E. 5 and 6).
On the other hand, the reservation clause of Swiss public policy (Art. 17 PILA) constitutes a general barrier for the incorporation theory (E. 7).
3. capacity to act of the plaintiff, a company domiciled in Panama, affirmed in the present case (E. 8).";A Panamanian company sued to recover an unpaid loan guaranteed by individuals. The Geneva courts dismissed the claim, ruling that the Panamanian company lacked the legal capacity to be a party in Switzerland. The company appealed to the Federal Court, arguing that it should be recognized as a legal entity under Panamanian law.;"Art. 18 PILA,
Art. 154 PILA";Public policy;"Can the courts refrain from applying a foreign substantive law if such law is incompatible with Swiss public policy?
Can a company incorporated under foreign law but not complying with Swiss incorporation requirements be recognized as a legal entity in Switzerland, if its actual operations are not being conducted in that foreign country but in Switzerland?";The court confirmed that under Article 154(1) PILA, the applicable law to determine a company’s status is the law of the place of incorporation. The court rejected the argument that the company’s domicile was fictitious, noting that Article 154(1) PILA does not include a reservation for fictitious domiciles intended to avoid domestic laws. The court also ruled that the Swiss public policy exception (Article 17 PILA) did not apply, as recognizing the company did not violate Swiss public order.
Federal Court, 8.09.2014 - 140 III 473;Switzerland;The court had to determine the law applicable to a contract for the assignment of intellectual property rights (patent). Although the patent protection was sought almost exclusively in the territory of Switzerland, this was not sufficient to override the default rule contained in the law. The default rule contained in the PILA applies, so that the contracts should be governed by the law of the country in which the assignor (a foreign company) has its habitual residence.;"In the present case, representatives of A. AG (based in Switzerland) met in Hong Kong with representatives of B. Ltd. (based in Hong Kong) to negotiate the entitlement to two patent applications: one relating to coffee capsules and the other to a mechanism for piercing the coffee capsules. The parties disagree as to the outcome of the meeting. B. Ltd. argues that they both agreed that it would assign the patent application for the piercing mechanism to A. Ltd. and, in return, would retain the patent applications for the coffee capsules. A. Ltd. denies that any agreement was reached. The appellate court applied Swiss law to resolve the dispute because of the close connection to the contract: Since the patent protection was sought almost exclusively in the territory of Switzerland, the overall connection to Switzerland was considered predominant.
The Swiss Supreme Court decided the case differently. Art. 122 PILA contains a special provision for contracts concerning intellectual property rights: such contracts are governed by the law of the country in which the person transferring the intellectual property right has his habitual residence. A deviation from the usual connection is possible, but only if the facts of the case are clearly more closely connected with another law. The defendant is domiciled in Hong Kong and was also domiciled in Hong Kong at the time of the possible conclusion of the contract. There is also no reason to consider Switzerland as having a clearly much closer connection with Swiss law, justifying the deviation from the general rule of Art. 122 PILA. Hong Kong law should also be applied to resolve the dispute.";Art. 122 PILA;;In the absence of a choice of law agreement, what law applies to a contract for the assignment of intellectual property rights? Should the law governing the contract be applied to determine whether the parties actually concluded the contract? Does the fact that the protection of intellectual property rights concerns almost exclusively the territory of Switzerland justify the application of Swiss law to the case? ;In the absence of a choice of law agreement, contracts for the transfer of intellectual property rights are governed by the law of the country in which the person transferring the intellectual property right has his habitual residence. This law also governs the question of whether the contract was actually entered into by the parties. The fact that the subject matter of the contract, the protection of intellectual property rights, concerns almost exclusively the territory of Switzerland does not justify the application of Swiss law to the case
Federal Court, 26.05.1954 - BGE 80 II 179;Switzerland;"Power of the contracting parties to determine the law governing their relations even during legal proceedings.
In accordance with the provisions of cantonal procedural law, the judge only applies foreign law if the parties expressly invoke it.";;According to old civil procedure laws of certain cantons (now replaced by the Swiss Civil Code [SCC]), the courts only apply foreign law ex officio, if federal legislation or a treaty so prescribes. In all other cases, in order for the judge to rule in accordance with the foreign law, one of the parties must invoke it within the time limit set out. If the parties fail to invoke the applicability of foreign law, Swiss law is applied, either directly or as a supportive law.;Overriding mandatory rules;What are the Swiss overriding mandatory rules if the parties do not choose the law applicable to their contract?;The courts will rule in accordance with the law, which in their view is the law of the country with which the contract has the closest territorial relationship. The court will only apply foreign law if the parties (expressly or implicitly) invoke its application within the set out time limit. If the parties fail to do invoke the applicability of foreign law, the courts will apply Swiss law irrespective of the contracts closest territorial relationship.
Federal Court, 23.03.1965 - BGE 91 II 44;Switzerland;"The place of jurisdiction for the action for attachment shall be determined in accordance with cantonal law, subject to Art. 59 of the Federal Constitution of the Swiss Confederation and international treaties.
International Code of Obligations; choice of applicable law by the contracting parties. Conditions of validity, time and scope of the choice of law. Which legal systems may the parties choose from? In any case, their choice must be recognized if it is based on a reasonable interest in the application of the chosen law (extension of jurisdiction). Such an interest exists, for example, if the parties agree on the application of the lex fori during the proceedings.";The decision recognizes the validity of choice-of-law agreements even in situations where the chosen law has no geographical connection with the contract. The decision was considered of great importance at the time (1965) since the possibility of agreeing on the applicable law was not regulated in statutory law. The decision leaves open the question of whether parties to international contracts should be granted an unrestricted right of choice, subject to public policy considerations, or whether such an interest should always be required in order to avoid abuses. In this case, the fact that the parties chose the lex fori was sufficient to consider the agreement valid.;Contract law provision applied since the PILA did not exist at the time: Art. 19 CO;Party autonomy, Freedom of choice;Can the parties freely agree on the law applicable to a contract? If so, on what principle would the possibility of determining the applicable law be based? Are there any limits to the parties' freedom of choice? ;The parties may choose the law of a country with which the contract has no geographical connection. This is based on the principle of freedom of contract. In certain cases, however, it may be appropriate to limit the parties' freedom. For a choice of law agreement to be enforceable, it is sufficient that the parties agree on the lex fori as the law applicable to the contract.  
Federal Court, 12.02.1952 - BGE 78 II 74;Switzerland;"Art. 43 para. 1 and Art. 60 lit. c OG (Bundesgesetz über die Organisation der Bundesrechtspflege/Judiciary Organization Act). Appeal, admissibility. Referral to the cantonal instance for application of foreign law (recitals 1 and 6).
Private international law.

Determination of the applicable law in relation to an agency agreement with exclusive right of sale concluded in Switzerland between a Belgian company and a merchant domiciled in Switzerland, but which can be performed in Belgium. Connection of the contract regardless of the hypothetical will of the parties. Purchase or agency agreement? (Rec. 2-4).
In principle, the formation and effects of the contract are to be assessed according to one and the same law, namely according to the law designated by the parties as applicable, or, in the absence of such a designation, according to the law of the country with which the contract is most closely connected. Reservations (Rec. 5).";"Genimportex S.A., a Belgian company, and Emile Chevalley, a merchant domiciled in Switzerland, concluded a ""provisional concession contract"" in Geneva. The contract was concluded in Geneva, Switzerland, but involved performance in Belgium. The parties did not expressly designate the applicable law, nor did their actions conclusively indicate a preference. The court had to decide whether Swiss or Belgian law should apply, focusing on the closest territorial connection and whether the contract was more akin to a sales contract or an agency agreement with exclusive rights. The court set aside the judgment of the lower court, which had incorrectly applied Swiss law. It remitted the case to the cantonal court for a new decision based on Belgian law, ensuring the correct application of the substantive law governing the contract. ";"Contract law provisions applied since the PILA did not exist at the time: 
Art. 1 CO,
Art. 18 CO,
Art. 74 para. 1 CO, 
Art. 82 CO";Party autonomy, Freedom of choice, Partial choice,Party autonomy, Freedom of choice, Dépeçage,Absence of choice;"In the absence of a choice-of-law agreement, how to determine the law governing the ""provisional concession contract"" between the parties?

";"Closest connection; place of the characteristic performance. The court ruled that the contract should be governed by Belgian law, as the seller's obligations, which characterize the legal relationship, were to be performed in Belgium. The contract's formation and effects were thus subject to Belgian law, regardless of its conclusion in Geneva or the use of Swiss francs for pricing."
Federal Court, 24.06.1955 - BGE 81 II 175;Switzerland;"Private international law, choice of law, set-off.
Prerequisites for the assumption of a subsequent choice of law by the parties through implied conduct.
Remittal by analogous application of Art. 60 para. 1 lit. c OG (Bundesgesetz über die Organisation der Bundesrechtspflege/Judiciary Organization Act) if it cannot be decided on the basis of the contested judgment which law governs the claim to be set off.";"The defendant acknowledges that the plaintiff is entitled to a claim of CHF 10,910.15 against it for stocking deliveries, but asserts counterclaims in a higher amount by way of set-off. The lower court rejected the set-off objection. With its appeal, the defendant upholds one of the counterclaims in the amount of CHF 12,000. This is a claim that was originally due to the plaintiff from the company Swiss Rucky in New York and was then allegedly assigned to the defendant. For this claim, the plaintiff had accepted three bills of exchange drawn on him by Swiss Rucky, due on March 25, April 25 and May 25, 1953.
";None;Party autonomy, Tacit choice,Party autonomy, Freedom of choice;What are the requirements for an effective choice of law by the parties? Does the choice of law have to be made expressly? Can the parties choose the applicable law subsequent to the conclusion of the main agreement?;The parties are able to make a subsequent choice-of-law agreement. They are free to choose the form of their choice-of-law agreement. A tacit choice of law is also accepted under the condition that the parties display mutual intent to want the same law to apply to their relationship. 
Federal Court, 17.05.2005 - 4C.458/2004;Switzerland;In the present case, the Supreme Court examines whether the fact that the performance takes place in a third country and that the currency agreed for its payment is the one of the place of performance is sufficient to presume that this country has a close connection with a contract. The court concludes that this is not sufficient to rebut the presumption that the law closest to the contract is the law of the country in which the party performing the characteristic performance has its domicile at the time of the conclusion of the contract.;"In the present case, the parties, X SA, based in Switzerland, and Y SRL, based in Italy, agreed that the latter would supply specialised personnel to a waste disposal plant in Germany. After paying part of the agreed remuneration, the Swiss company stopped payment because it considered that the contract had not been properly performed. Both the judge of first instance and the Court of Appeal ordered the debtor to pay the full agreed amount. Both concluded that Italian law was applicable, according to which the defects should have been notified within 60 days of their discovery and not, as in fact happened, more than a year after the completion of the works.
Before the Supreme Court, the appellant argued that German law was applicable because the contract had to be performed in Germany and had been agreed in German currency. Furthermore, according to an agreement between Germany and Italy, if an Italian company carries out activities in Germany for more than six months, it must be considered to have a permanent establishment in Germany.
The Supreme Court rejected the appeal. Under the Swiss conflict-of-laws rule, contracts are governed by the law most closely connected with the contract. The law presumes that this is the law of the country in which the party providing the characteristic performance is domiciled at the time of the conclusion of the contract. Since the employment agency was domiciled in Italy at the time of the conclusion of the contract, the contract should be governed by that law. The fact that the performance takes place in another country and that the currency of the place of performance is agreed is not sufficient to rebut this presumption. Italian law is applicable.";Art. 117 PILA;;How is the law applicable to the contract determined in the absence of a choice of law agreement? What is the law most closely connected with the contract?;In the absence of a choice of law, contracts are governed by the law of the country with which the contract has the closest connection. Such a connection is presumed to exist with the country of the habitual residence of the party who must perform the characteristic obligation. The fact that the performance takes place in another country and that the currency of the place of performance is agreed is not sufficient to rebut this presumption. 
Federal Court, 28.05.2019 - 4A_543/2018  ;Switzerland;In this case, the court had to decide whether an agreement to apply the law of a particular legal system (in this case Swiss law) had the effect of excluding the application of the United Nations Convention on Contracts for the International Sale of Goods (CISG). The court ultimately rejected the claim and confirmed the application of this international convention. The choice of the law of a contracting state does not imply the exclusion of the CISG, as the CISG is also part of national law.   ;"In the present case, the appellant is suing the respondent for, inter alia, unjust enrichment in connection with a breach of contract in the sale and supply of electricity meters. The court of first instance agreed with the appellant. However, the court of second instance dismissed the claim based on the application of the United Nations Convention on Contracts for the International Sale of Goods (CISG). The plaintiff appealed to the Supreme Court, arguing that the parties had agreed to exclude the application of the CISG, so that only Swiss contract law should be applied to resolve the dispute between the parties.
The Supreme Court ultimately rejected this argument. According to the court, the choice of the law of a contracting state does not constitute an implied exclusion of the CISG, as the CISG is also part of national law. Therefore, an implied exclusion requires further evidence that clearly and unambiguously indicates an opt-out from the CISG. Although the parties expressly agreed to the application of Swiss law and referred in part to the Swiss Code of Obligations, this cannot constitute an implied exclusion of the CISG because the reference does not contradict the point governed by the CISG. Legal arguments based on national law are not automatically sufficient to assume an intention to exclude the application of the CISG. ";"Article 6 CISG,
The parties may exclude the application of this Convention or, subject to article 12, derogate from or vary the effect of any of its provisions.";Party autonomy, Rules of law,Party autonomy, Tacit choice;Should an agreement to apply the law of a particular country that is part of the United Nations Convention on Contracts for the International Sale of Goods (CISG) have the effect of excluding the application of that Convention? ;No. The choice of the law of a Contracting State does not have the effect of excluding the CISG, since the CISG is also part of national law. 
Federal Court, 07.05.2004 - BGE 130 III 620;Switzerland;"Consideration of third-country overriding mandatory provisions under Art. 19 PILA; requirements for the facts and the exceptional nature of Art. 19 PILA.
Requirements that must be met under Art. 19, para. 1, PILA for a third-country overriding mandatory rule to apply (Sec. 3.3-3.5).
The consideration of such norms must remain the exception, and it is particularly out of the question if the PILA itself provides for a special regulation. The provisions of Art. 166 et seq. PILA for the purpose of recognizing a foreign bankruptcy decree constitutes such a special provision (Sec. 3.5.1).";A U.S. citizen domiciled in California, opened an account with a Swiss bank. The account was registered in the U.S. citizens name, while her and her husband were designated as beneficial owners. Following the husbands bankruptcy in California, his bankruptcy trustee requested the bank to provide details regarding the accounts. However, the bank refused to disclose the information, citing Swiss banking secrecy laws. The wife then filed a claim in a Swiss court to recover the assets in her account, which were allegedly her own, according to a postnuptial agreement signed in the U.S. between her and her husband. The lower court ruled in favor of the bank, invoking Swiss private international law and third-country overriding mandatory provisions from U.S. bankruptcy law, deferring the bank’s payment obligation to the wife.;Art. 19 PILA;Overriding mandatory rules;Can national law of another jurisdiction be taken into account, as an overriding mandatory provision under Art. 19 PILA, despite the parties' agreement that Swiss law governed their contract?;Art. 19 PILA could, in exceptional circumstances, allow the application of overriding mandatory provisions from third countries (such as U.S. bankruptcy law). However, this provision is meant to be applied sparingly and only when there is a close connection between the facts of the case and the third country’s law, and when overriding interests worthy of protection are at stake. Since in the given case there would have been a specific rule of law provided for by Art. 164 et seq. PILA, the Federal Supreme Court did not apply Art. 19 PILA.
