Theme,Definition
Observance of a choice of law clause,"When courts or arbitral tribunals ""respect a choice of law clause,"" it means they acknowledge and apply the specific legal system (the law of a particular country or set of rules) that the parties to a contract have agreed upon to govern their contract. This is a fundamental aspect of upholding party autonomy in contract law, especially in international contexts. Courts or arbitral tribunals will normally respect the parties' contractual choice of law clause, provided that the choice of law is made within the limits set out by the applicable law, usually the lex fori or the lex arbitri. "
Party autonomy,"Party autonomy refers to the power of the parties to a contract to choose a neutral law or the law they consider most appropriate for their specific contract. It enhances certainty and predictability within the parties’ primary contractual arrangement and recognizes that parties to a contract may be in the best position to determine which set of legal principles is most suitable for their transaction. Many States have reached this conclusion and, as a result, giving effect to party autonomy is the predominant view today. However, there are considerable differences regarding the scope of this concept (e.g. with respect to consumer or employment contracts). "
Principles (soft law),"The term soft law is used to denote agreements, principles and declarations that are not legally binding. Soft law instruments are predominantly found in the international sphere.
Principles do not constitute a formally binding instrument, and therefore, States are not obliged to directly apply or incorporate them into their domestic law. Principles can guide the reform of domestic law and operate alongside existing instruments on the subject. 
"
Non-State law (rules of law),"“Non-State law or rules of law” refers to regulations that are generally accepted on an international, supranational, or regional level as a neutral and balanced set of rules. These can include non-binding instruments formulated by established international bodies, such as the UNIDROIT Principles of International Commercial Contracts (UPICC). Arbitration statutes and rules often permit contractual disputes to be resolved under such “rules of law.”"
Tacit choice,"Rules of law (also known as 'non-government rules' or 'non-state law'). This term refers to legal norms that are not created by a national government or state. Examples include religious law, tribal law and customary practices recognised and applied by courts or arbitration tribunals."
Partial choice,Partial choice is the prerogative of the parties to indicate that the chosen law does not apply to the entirety of the contract.
Absence of choice,"Absence of choice means that the parties have no agreement on choice of law (e.g., no choice of law clause inserted in their contract), or when a choice of law clause is invalid. In the absence of contractual choice, the adjudicator (judge or arbitrator) must determine the law applicable to the transaction/case."
Arbitration,"Arbitration is a mechanism whereby the settlement of a dispute between two or more parties is entrusted to one or more persons (the arbitrator(s)). The arbitrators derive their powers from a private agreement (the arbitration agreement) and not primarily from the authority of a State. They proceed and decide the case on the basis of the arbitration agreement by rendering a final and binding arbitral award. The parties may specify, either in the arbitration agreement itself (ad hoc arbitration) or indirectly by choosing a set of arbitration rules (institutional arbitration), the method of appointing the arbitrators, the seat (or place) of the arbitration, and also the procedure to be followed while conducting the arbitral process. The guiding principle in arbitration is party autonomy."
Comparative method,"The ""Comparative method"" refers to a legal approach where laws, legal principles, and court decisions from other jurisdictions are considered and analyzed as part of the decision-making process. When using the comparative method, a judge or arbitrator (or any person applying legal rules) may look at how different legal systems have approached similar legal issues or disputes. The purpose of this method is not to directly apply foreign law to a case, but rather to gain insights, perspectives, or guidance that can inform the interpretation and application of domestic law. The ultimate decision must still be based on and be compliant with the domestic legal system and its principles."
Modification of a  choice of law clause,A “modification of a choice of law clause” refers to the process of the parties modifying an existing contractual choice of law clause. A choice of law clause can only be modified with the mutual consent of all parties to the contract. The modification should be made by drafting an amendment to the original contract which specifies the new choice of law. 
Connecting factors,"""Connecting factors"" refer to the elements or considerations used to establish a link or relationship between a legal issue and a particular jurisdiction or legal system in the context of private international law. These criteria help in determining the most appropriate law or jurisdiction to govern a particular legal issue, especially in cases involving international elements. For example, the concept of ""establishment"" is often used as a connecting factor in various jurisdictions to ascertain the internationality of a contract and to determine the law applicable to the parties' agreement on choice of law."
Freedom of Choice,Freedom of choice (also known as the 'principle of freedom of choice'). This term refers to the ability of parties involved in an international transaction to determine themselves the legal system governing their legal relationship. This principle is often referred to as 'party autonomy'.
"Neutral law (""law of a 3rd country"")","A “neutral law” or the “law of a third country” describes a choice of law made by the parties, in which they agree on a law to govern their relationship that is not the law of a country directly connected to either party or their relationship (contract) itself. This approach is often used in cross-border agreements where parties are from different countries. Parties often choose the law of a jurisdiction known for its well-established and stable legal system, predictable legal outcomes, and sophisticated commercial law. This helps in avoiding any perceived home advantage and aims to eliminate any potential bias or conflict of interest that might arise from using the law of a country to which one of the parties is connected. "
Rules of Law,"Rules of law (also known as 'non-government rules' or 'non-state law'). This term refers to legal norms that are not created by a national government or state. Examples include religious law, tribal law and customary practices recognised and applied by courts or arbitration tribunals."
